Significant Go Accession: GO:0031106  Value: 0.000365
Significant Go Accession: GO:0008174  Value: 0.002275
Significant Go Accession: GO:0017074  Value: 0.000570
Significant Go Accession: GO:0006702  Value: 0.000005
Significant Go Accession: GO:0006349  Value: 0.000000
Significant Go Accession: GO:0005309  Value: 0.000820
Significant Go Accession: GO:0007210  Value: 0.000029
Significant Go Accession: GO:0047936  Value: 0.000091
Significant Go Accession: GO:0042834  Value: 0.000058
Significant Go Accession: GO:0003747  Value: 0.000000
Significant Go Accession: GO:0015283  Value: 0.000091
Significant Go Accession: GO:0005826  Value: 0.000820
Significant Go Accession: GO:0004001  Value: 0.003273
Significant Go Accession: GO:0030742  Value: 0.000000
Significant Go Accession: GO:0019317  Value: 0.000000
Significant Go Accession: GO:0005220  Value: 0.000000
Significant Go Accession: GO:0019731  Value: 0.000000
Significant Go Accession: GO:0008209  Value: 0.000000
Significant Go Accession: GO:0006661  Value: 0.000000
Significant Go Accession: GO:0030506  Value: 0.000039
Significant Go Accession: GO:0008494  Value: 0.000000
Significant Go Accession: GO:0003818  Value: 0.000820
Significant Go Accession: GO:0006726  Value: 0.000000
Significant Go Accession: GO:0004345  Value: 0.000018
Significant Go Accession: GO:0030659  Value: 0.000000
Significant Go Accession: GO:0050425  Value: 0.001457
Significant Go Accession: GO:0003870  Value: 0.000058
Significant Go Accession: GO:0004439  Value: 0.000000
Significant Go Accession: GO:0008147  Value: 0.000000
Significant Go Accession: GO:0005790  Value: 0.000000
Significant Go Accession: GO:0005675  Value: 0.000000
Significant Go Accession: GO:0008523  Value: 0.000820
Significant Go Accession: GO:0005138  Value: 0.000005
Significant Go Accession: GO:0016453  Value: 0.000113
Significant Go Accession: GO:0005852  Value: 0.000000
Significant Go Accession: GO:0007129  Value: 0.000000
Significant Go Accession: GO:0015696  Value: 0.001457
Significant Go Accession: GO:0000731  Value: 0.000091
Significant Go Accession: GO:0005048  Value: 0.000000
Significant Go Accession: GO:0005522  Value: 0.000000
Significant Go Accession: GO:0008296  Value: 0.000000
Significant Go Accession: GO:0006370  Value: 0.000002
Significant Go Accession: GO:0005010  Value: 0.000002
Significant Go Accession: GO:0004815  Value: 0.000000
Significant Go Accession: GO:0015379  Value: 0.000026
Significant Go Accession: GO:0017057  Value: 0.001457
Significant Go Accession: GO:0051452  Value: 0.000000
Significant Go Accession: GO:0007128  Value: 0.000142
Significant Go Accession: GO:0008367  Value: 0.000000
Significant Go Accession: GO:0050661  Value: 0.006547
Significant Go Accession: GO:0005584  Value: 0.000000
Significant Go Accession: GO:0004616  Value: 0.012966
Significant Go Accession: GO:0006942  Value: 0.000000
Significant Go Accession: GO:0008133  Value: 0.000000
Significant Go Accession: GO:0017070  Value: 0.000002
Significant Go Accession: GO:0015207  Value: 0.000000
Significant Go Accession: GO:0005086  Value: 0.000000
Significant Go Accession: GO:0004830  Value: 0.003273
Significant Go Accession: GO:0006430  Value: 0.000002
Significant Go Accession: GO:0016895  Value: 0.000009
Significant Go Accession: GO:0009051  Value: 0.001457
Significant Go Accession: GO:0007034  Value: 0.000000
Significant Go Accession: GO:0000172  Value: 0.000000
Significant Go Accession: GO:0018298  Value: 0.000151
Significant Go Accession: GO:0004622  Value: 0.000000
Significant Go Accession: GO:0030677  Value: 0.000000
Significant Go Accession: GO:0009452  Value: 0.000002
Significant Go Accession: GO:0043138  Value: 0.000091
Significant Go Accession: GO:0004157  Value: 0.000000
Significant Go Accession: GO:0005594  Value: 0.000000
Significant Go Accession: GO:0045494  Value: 0.003273
Significant Go Accession: GO:0007035  Value: 0.000001
Significant Go Accession: GO:0004193  Value: 0.001457
Significant Go Accession: GO:0015811  Value: 0.000000
Significant Go Accession: GO:0004656  Value: 0.000000
Significant Go Accession: GO:0004608  Value: 0.001457
Significant Go Accession: GO:0004301  Value: 0.000001
Significant Go Accession: GO:0005982  Value: 0.000091
Significant Go Accession: GO:0006878  Value: 0.000000
Significant Go Accession: GO:0008140  Value: 0.000000
Significant Go Accession: GO:0009127  Value: 0.000000
Significant Go Accession: GO:0015266  Value: 0.000000
Significant Go Accession: GO:0009124  Value: 0.000000
Significant Go Accession: GO:0000270  Value: 0.000131
Significant Go Accession: GO:0006283  Value: 0.000000
Significant Go Accession: GO:0019979  Value: 0.000002
Significant Go Accession: GO:0006510  Value: 0.000026
Significant Go Accession: GO:0003867  Value: 0.002275
Significant Go Accession: GO:0016642  Value: 0.000820
Significant Go Accession: GO:0004530  Value: 0.001457
Significant Go Accession: GO:0008934  Value: 0.000002
Significant Go Accession: GO:0007172  Value: 0.000000
Significant Go Accession: GO:0004829  Value: 0.003273
Significant Go Accession: GO:0006436  Value: 0.000005
Significant Go Accession: GO:0006356  Value: 0.000000
Significant Go Accession: GO:0015057  Value: 0.000000
Significant Go Accession: GO:0006360  Value: 0.000000
Significant Go Accession: GO:0015742  Value: 0.000091
Significant Go Accession: GO:0030508  Value: 0.000000
Significant Go Accession: GO:0008048  Value: 0.000039
Significant Go Accession: GO:0035267  Value: 0.000000
Significant Go Accession: GO:0000101  Value: 0.000000
Significant Go Accession: GO:0045637  Value: 0.009039
Significant Go Accession: GO:0006884  Value: 0.000000
Significant Go Accession: GO:0017026  Value: 0.000365
Significant Go Accession: GO:0019969  Value: 0.000001
Significant Go Accession: GO:0005088  Value: 0.000000
Significant Go Accession: GO:0004558  Value: 0.003839
Significant Go Accession: GO:0042355  Value: 0.000000
Significant Go Accession: GO:0003921  Value: 0.000205
